From Point,To Point,Distance (km),Fare (BDT)
Bhabar Bhiti (South Keraniganj),Bhabar Bhiti (South Keraniganj),0,0
Bhabar Bhiti (South Keraniganj),Abdullahpur Jailkhana,3.9,10
Bhabar Bhiti (South Keraniganj),Rajendrapur Bazar,4.6,11
Bhabar Bhiti (South Keraniganj),Chun Kutia Bazar,8.8,22
Bhabar Bhiti (South Keraniganj),Kadam Toli,9.5,23
Bhabar Bhiti (South Keraniganj),Babu Bazar,11.2,27
Bhabar Bhiti (South Keraniganj),Gulistan (Phulbaria),12.6,31
Bhabar Bhiti (South Keraniganj),Paltan,13.3,33
Bhabar Bhiti (South Keraniganj),Kakrail,14.1,35
Bhabar Bhiti (South Keraniganj),Malibagh,15,37
Bhabar Bhiti (South Keraniganj),Mowchak (Flyover),15.3,37
Bhabar Bhiti (South Keraniganj),Rampura,16.9,41
Bhabar Bhiti (South Keraniganj),Badda,20,49
Bhabar Bhiti (South Keraniganj),Notun Bazar,21.4,52
Bhabar Bhiti (South Keraniganj),Kuril Bishwaroad,24.1,59
Bhabar Bhiti (South Keraniganj),Khilkhet,25.9,63
Bhabar Bhiti (South Keraniganj),Airport,28.6,70
Bhabar Bhiti (South Keraniganj),House Building,31.4,77
Bhabar Bhiti (South Keraniganj),Diabari,35.1,86
Abdullahpur Jailkhana,Abdullahpur Jailkhana,0,0
Abdullahpur Jailkhana,Rajendrapur Bazar,0.7,10
Abdullahpur Jailkhana,Chun Kutia Bazar,4.9,12
Abdullahpur Jailkhana,Kadam Toli,5.6,14
Abdullahpur Jailkhana,Babu Bazar,7.3,18
Abdullahpur Jailkhana,Gulistan (Phulbaria),8.7,21
Abdullahpur Jailkhana,Paltan,9.4,23
Abdullahpur Jailkhana,Kakrail,10.2,23
Abdullahpur Jailkhana,Malibagh,11.1,27
Abdullahpur Jailkhana,Mowchak (Flyover),11.4,28
Abdullahpur Jailkhana,Rampura,13,32
Abdullahpur Jailkhana,Badda,16.1,39
Abdullahpur Jailkhana,Notun Bazar,17.5,43
Abdullahpur Jailkhana,Kuril Bishwaroad,20.2,49
Abdullahpur Jailkhana,Khilkhet,22,54
Abdullahpur Jailkhana,Airport,24.7,61
Abdullahpur Jailkhana,House Building,27.5,67
Abdullahpur Jailkhana,Diabari,31.2,76
Rajendrapur Bazar,Rajendrapur Bazar,0,0
Rajendrapur Bazar,Chun Kutia Bazar,4.2,10
Rajendrapur Bazar,Kadam Toli,4.9,12
Rajendrapur Bazar,Babu Bazar,6.6,16
Rajendrapur Bazar,Gulistan (Phulbaria),8,20
Rajendrapur Bazar,Paltan,8.7,21
Rajendrapur Bazar,Kakrail,9.5,25
Rajendrapur Bazar,Malibagh,10.4,25
Rajendrapur Bazar,Mowchak (Flyover),10.7,26
Rajendrapur Bazar,Rampura,12.3,30
Rajendrapur Bazar,Badda,15.4,38
Rajendrapur Bazar,Notun Bazar,16.8,41
Rajendrapur Bazar,Kuril Bishwaroad,19.5,48
Rajendrapur Bazar,Khilkhet,21.3,52
Rajendrapur Bazar,Airport,24,59
Rajendrapur Bazar,House Building,26.8,66
Rajendrapur Bazar,Diabari,30.5,75
Chun Kutia Bazar,Chun Kutia Bazar,0,0
Chun Kutia Bazar,Kadam Toli,0.7,10
Chun Kutia Bazar,Babu Bazar,2.4,10
Chun Kutia Bazar,Gulistan (Phulbaria),3.8,10
Chun Kutia Bazar,Paltan,4.5,11
Chun Kutia Bazar,Kakrail,5.3,13
Chun Kutia Bazar,Malibagh,6.2,15
Chun Kutia Bazar,Mowchak (Flyover),6.5,16
Chun Kutia Bazar,Rampura,8.1,20
Chun Kutia Bazar,Badda,11.2,27
Chun Kutia Bazar,Notun Bazar,12.6,31
Chun Kutia Bazar,Kuril Bishwaroad,15.3,37
Chun Kutia Bazar,Khilkhet,17.1,42
Chun Kutia Bazar,Airport,19.8,49
Chun Kutia Bazar,House Building,22.6,55
Chun Kutia Bazar,Diabari,26.3,64
Kadam Toli,Kadam Toli,0,0
Kadam Toli,Babu Bazar,1.7,10
Kadam Toli,Gulistan (Phulbaria),3.1,10
Kadam Toli,Paltan,3.8,10
Kadam Toli,Kakrail,4.6,11
Kadam Toli,Malibagh,5.5,13
Kadam Toli,Mowchak (Flyover),5.8,14
Kadam Toli,Rampura,7.4,18
Kadam Toli,Badda,10.5,26
Kadam Toli,Notun Bazar,11.9,29
Kadam Toli,Kuril Bishwaroad,14.6,36
Kadam Toli,Khilkhet,16.4,40
Kadam Toli,Airport,19.1,47
Kadam Toli,House Building,21.9,54
Kadam Toli,Diabari,25.6,63
Babu Bazar,Babu Bazar,0,0
Babu Bazar,Gulistan (Phulbaria),1.4,10
Babu Bazar,Paltan,2.1,10
Babu Bazar,Kakrail,2.9,10
Babu Bazar,Malibagh,3.8,10
Babu Bazar,Mowchak (Flyover),4.1,10
Babu Bazar,Rampura,5.7,14
Babu Bazar,Badda,8.8,22
Babu Bazar,Notun Bazar,10.2,25
Babu Bazar,Kuril Bishwaroad,12.9,31
Babu Bazar,Khilkhet,14.7,36
Babu Bazar,Airport,17.4,43
Babu Bazar,House Building,20.2,49
Babu Bazar,Diabari,23.9,59
Gulistan (Phulbaria),Gulistan (Phulbaria),0,0
Gulistan (Phulbaria),Paltan,0.7,10
Gulistan (Phulbaria),Kakrail,1.5,10
Gulistan (Phulbaria),Malibagh,2.4,10
Gulistan (Phulbaria),Mowchak (Flyover),2.7,10
Gulistan (Phulbaria),Rampura,4.3,10
Gulistan (Phulbaria),Badda,7.4,18
Gulistan (Phulbaria),Notun Bazar,8.8,22
Gulistan (Phulbaria),Kuril Bishwaroad,11.5,28
Gulistan (Phulbaria),Khilkhet,13.3,33
Gulistan (Phulbaria),Airport,16,39
Gulistan (Phulbaria),House Building,18.8,46
Gulistan (Phulbaria),Diabari,22.5,55
Paltan,Paltan,0,0
Paltan,Kakrail,0.8,10
Paltan,Malibagh,1.7,10
Paltan,Mowchak (Flyover),2,10
Paltan,Rampura,3.6,10
Paltan,Badda,6.7,16
Paltan,Notun Bazar,8.1,20
Paltan,Kuril Bishwaroad,10.8,26
Paltan,Khilkhet,12.6,31
Paltan,Airport,15.3,38
Paltan,House Building,18.1,44
Paltan,Diabari,21.8,53
Kakrail,Kakrail,0,0
Kakrail,Malibagh,0.9,10
Kakrail,Mowchak (Flyover),1.2,10
Kakrail,Rampura,2.8,10
Kakrail,Badda,5.9,14
Kakrail,Notun Bazar,7.3,18
Kakrail,Kuril Bishwaroad,10,25
Kakrail,Khilkhet,11.8,29
Kakrail,Airport,14.5,35
Kakrail,House Building,17.3,42
Kakrail,Diabari,21,51
Malibagh,Malibagh,0,0
Malibagh,Mowchak (Flyover),0.3,10
Malibagh,Rampura,1.9,10
Malibagh,Badda,5,12
Malibagh,Notun Bazar,6.4,15
Malibagh,Kuril Bishwaroad,9.1,22
Malibagh,Khilkhet,10.9,27
Malibagh,Airport,13.6,33
Malibagh,House Building,16.4,40
Malibagh,Diabari,20.1,49
Mowchak (Flyover),Mowchak (Flyover),0,0
Mowchak (Flyover),Rampura,1.6,10
Mowchak (Flyover),Badda,4.7,11
Mowchak (Flyover),Notun Bazar,6.1,15
Mowchak (Flyover),Kuril Bishwaroad,8.8,22
Mowchak (Flyover),Khilkhet,10.6,26
Mowchak (Flyover),Airport,13.3,33
Mowchak (Flyover),House Building,16.1,39
Mowchak (Flyover),Diabari,19.8,49
